MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,18494,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,OneFam,One_Story,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,1324,1324,GasA,Excellent,Y,SBrkr,1324,0,1324,0,0,2,0,3,1,6,Typ,0,Attchd,Fin,2,430,Typical,Paved,36,23,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,199500,-93.644356,42.061928
Two_Story_1946_and_Newer,Residential_Low_Density,63,8577,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,847,847,GasA,Excellent,Y,SBrkr,847,886,1733,0,0,2,1,3,1,7,Typ,1,BuiltIn,Fin,2,433,Typical,Paved,144,48,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,185088,-93.642447,42.061193
Split_or_Multilevel,Residential_Low_Density,0,7750,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,SLvl,Average,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,134,384,GasA,Excellent,Y,SBrkr,774,656,1430,0,0,2,1,3,1,7,Typ,1,BuiltIn,Fin,2,400,Typical,Paved,180,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,180000,-93.641325,42.060936
Two_Story_1946_and_Newer,Residential_Low_Density,0,9505,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180,Typical,PConc,Typical,No,Unf,7,Unf,0,884,884,GasA,Excellent,Y,SBrkr,884,1151,2035,0,0,2,1,3,1,8,Typ,1,BuiltIn,Fin,2,434,Typical,Paved,144,48,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,222500,-93.641337,42.057103
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,92,9215,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,1218,1218,GasA,Excellent,Y,SBrkr,1218,0,1218,0,0,2,0,2,1,4,Typ,0,Attchd,RFn,2,676,Typical,Paved,0,136,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,New,Partial,204500,-93.649976,42.051827
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,84,10440,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Somerset,Norm,Norm,OneFam,One_Story,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,54,1468,GasA,Excellent,Y,SBrkr,1468,0,1468,1,0,2,0,2,1,6,Typ,1,Attchd,Fin,2,528,Typical,Paved,0,102,0,0,216,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,271500,-93.642224,42.051429
Two_Story_1946_and_Newer,Residential_Low_Density,0,8880,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,OneFam,Two_Story,Average,1994,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,253,948,GasA,Excellent,Y,SBrkr,1222,888,2110,1,0,2,1,3,1,8,Typ,2,Attchd,RFn,2,463,Typical,Paved,0,130,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,205000,-93.68981,42.036026
One_Story_PUD_1946_and_Newer,Residential_Low_Density,50,8012,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer_West,Norm,Norm,TwnhsE,One_Story,Average,1980,1980,Gable,CompShg,Plywood,Plywood,None,0,Typical,CBlock,Typical,No,BLQ,2,BLQ,119,261,923,GasA,Typical,Y,SBrkr,923,0,923,0,0,2,0,2,1,5,Typ,1,Attchd,RFn,1,264,Typical,Paved,80,0,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,143000,-93.686417,42.03548
Split_Foyer,Residential_Low_Density,88,11782,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,OneFam,SFoyer,Good,1961,1995,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,Av,ALQ,1,Unf,0,210,1109,GasA,Typical,Y,SBrkr,1155,0,1155,1,0,1,0,3,1,6,Min2,0,Detchd,Unf,2,576,Typical,Paved,192,0,0,0,0,0,No_Pool,Minimum_Privacy,Shed,400,6,2010,WD ,Normal,148000,-93.673669,42.034793
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,39,15410,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,OneFam,One_Story,Above_Average,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250,Good,CBlock,Typical,Gd,BLQ,2,GLQ,859,223,1208,GasA,Excellent,Y,SBrkr,1494,0,1494,1,0,2,0,3,1,7,Typ,2,Attchd,Fin,2,461,Typical,Paved,296,0,186,0,0,0,No_Pool,Good_Privacy,None,0,4,2010,WD ,Abnorml,169000,-93.660672,42.034603
One_Story_PUD_1946_and_Newer,Floating_Village_Residential,25,4835,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Somerset,Norm,Norm,TwnhsE,One_Story,Average,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,PConc,Typical,Av,GLQ,3,Unf,0,190,1488,GasA,Excellent,Y,SBrkr,1488,0,1488,1,0,2,0,2,1,6,Typ,1,Attchd,Fin,2,506,Typical,Paved,168,50,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,260000,-93.647988,42.047452
Two_Story_PUD_1946_and_Newer,Floating_Village_Residential,24,2572,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,Gtl,Somerset,Norm,Norm,Twnhs,Two_Story,Average,1999,1999,Hip,CompShg,MetalSd,MetalSd,None,0,Typical,PConc,Typical,No,ALQ,1,Unf,0,92,696,GasA,Excellent,Y,SBrkr,696,720,1416,1,0,2,1,3,1,6,Typ,0,Detchd,Unf,2,484,Typical,Paved,0,44,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,155000,-93.645482,42.046424
One_Story_PUD_1946_and_Newer,Residential_Low_Density,30,4420,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,Greens,Norm,Norm,TwnhsE,One_Story,Average,1980,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,CBlock,Typical,Gd,GLQ,3,Unf,0,0,728,GasA,Typical,Y,SBrkr,788,0,788,1,0,1,0,1,1,3,Typ,1,Detchd,Fin,2,484,Typical,Paved,133,42,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,155000,-93.649361,42.042565
Two_Story_1946_and_Newer,Residential_Low_Density,80,10791,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Northwest_Ames,Norm,Norm,OneFam,Two_Story,Average,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,143,1280,GasA,Excellent,Y,SBrkr,1280,1215,2495,1,0,2,1,4,1,9,Typ,1,Attchd,Unf,2,660,Typical,Paved,224,32,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,243500,-93.636879,42.043038
Duplex_All_Styles_and_Ages,Residential_Low_Density,98,13260,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,Duplex,One_Story,Above_Average,1962,2001,Hip,CompShg,HdBoard,HdBoard,BrkFace,144,Typical,CBlock,Typical,No,BLQ,2,Unf,0,228,1728,GasA,Typical,Y,SBrkr,1728,0,1728,2,0,2,0,6,2,10,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,1,2010,Oth,Abnorml,84900,-93.62290399999999,42.0418387
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,50,7207,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Brookside,Norm,Norm,OneFam,One_Story,Good,1958,2008,Gable,CompShg,Wd Sdng,Plywood,None,0,Good,CBlock,Typical,Gd,BLQ,2,Unf,0,162,858,GasA,Good,Y,SBrkr,858,0,858,1,0,1,0,2,1,4,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Paved,117,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,WD ,Normal,116500,-93.629287,42.035256
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,78,7800,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200,Typical,PConc,Typical,No,LwQ,4,Unf,0,728,1268,GasA,Good,Y,SBrkr,1268,0,1268,0,0,1,0,2,1,7,Typ,1,Attchd,Fin,1,244,Typical,Paved,0,98,0,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,132000,-93.621431,42.037424
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,19900,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,PosA,Norm,OneFam,One_Story,Average,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287,Typical,CBlock,Typical,Gd,GLQ,3,Unf,0,1035,1947,GasA,Typical,Y,SBrkr,2207,0,2207,1,0,2,0,3,1,7,Min1,1,Attchd,RFn,2,576,Typical,Paved,301,0,0,0,0,0,No_Pool,No_Fence,None,0,7,2010,WD ,Normal,180000,-93.614307,42.049514
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8197,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,2003,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,506,Typical,PConc,Typical,No,GLQ,3,Unf,0,292,1480,GasA,Excellent,Y,SBrkr,1480,0,1480,1,0,2,0,3,1,7,Typ,0,Attchd,RFn,2,620,Typical,Paved,252,73,0,0,0,0,No_Pool,Minimum_Privacy,Shed,300,2,2010,WD ,Normal,214000,-93.617553,42.043984
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,73,8760,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220,Typical,CBlock,Typical,No,Unf,7,Unf,0,1194,1194,GasA,Typical,Y,SBrkr,1194,0,1194,1,0,1,0,3,1,6,Typ,0,Attchd,RFn,1,312,Typical,Paved,0,0,120,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,148000,-93.616582,42.043969
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,10032,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,1959,1959,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,432,Typical,CBlock,Typical,No,Rec,6,Unf,0,510,1244,GasA,Excellent,Y,SBrkr,1580,0,1580,1,0,1,1,3,1,6,Typ,2,Attchd,Unf,2,440,Typical,Paved,0,28,0,0,160,0,No_Pool,Good_Wood,None,0,6,2010,WD ,Normal,159500,-93.61424099999999,42.0435919
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,60,8382,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_and_Half_Fin,Average,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,832,832,GasA,Typical,Y,FuseA,832,505,1337,0,0,1,0,3,1,5,Typ,0,Attchd,Unf,1,263,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2010,WD ,Normal,108000,-93.613624,42.042308
Split_or_Multilevel,Residential_Low_Density,96,11275,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,PosN,Norm,OneFam,SLvl,Good,1967,2007,Mansard,WdShake,Wd Sdng,Wd Sdng,BrkFace,300,Good,CBlock,Typical,No,Unf,7,Unf,0,710,710,GasA,Excellent,Y,SBrkr,1898,1080,2978,0,0,2,1,5,1,11,Typ,1,BuiltIn,Fin,2,564,Typical,Paved,240,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,242000,-93.606905,42.041119
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Good,1959,1994,Hip,CompShg,BrkFace,BrkFace,None,0,Typical,CBlock,Typical,No,LwQ,4,Rec,906,0,1246,GasA,Excellent,Y,SBrkr,1246,0,1246,1,0,1,1,3,1,6,Typ,0,Attchd,RFn,1,305,Typical,Paved,218,0,0,0,0,0,No_Pool,Good_Privacy,None,0,5,2010,WD ,Normal,154000,-93.605969,42.03594
One_Story_1946_and_Newer_All_Styles,Residential_Medium_Density,69,5805,Pave,Gravel,Regular,Bnk,AllPub,Inside,Mod,Old_Town,Norm,Norm,OneFam,One_Story,Good,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0,Typical,CBlock,Typical,Mn,BLQ,2,Rec,1073,0,1347,GasA,Good,Y,SBrkr,1347,0,1347,1,1,1,0,3,1,6,Typ,0,Detchd,Unf,2,551,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,143000,-93.6179112,42.0303783
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,69,11851,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Artery,Norm,OneFam,One_and_Half_Fin,Good,1948,2009,Gable,CompShg,VinylSd,VinylSd,None,0,Good,BrkTil,Typical,No,BLQ,2,Unf,0,247,1027,GasA,Excellent,Y,SBrkr,1027,606,1633,0,0,1,0,3,1,7,Typ,1,Detchd,Unf,1,240,Typical,Paved,0,100,126,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,129000,-93.610466,42.030383
Two_Story_1945_and_Older,Residential_Medium_Density,50,9000,Pave,Gravel,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,Two_Story,Excellent,1890,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Good,Stone,Fair,No,Unf,7,Unf,0,346,346,GasA,Excellent,Y,SBrkr,1157,1111,2268,0,0,3,0,3,1,7,Typ,0,Detchd,Unf,2,624,Typical,Dirt_Gravel,0,108,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,240000,-93.61221,42.028145
Two_Story_1945_and_Older,Residential_Medium_Density,60,10560,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,Two_Story,Good,1922,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,CBlock,Typical,No,Rec,6,Unf,0,455,738,GasA,Excellent,Y,SBrkr,868,602,1470,0,0,1,1,2,1,6,Min1,0,Detchd,Unf,2,624,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2010,WD ,Normal,140750,-93.607088,42.028165
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,53,5830,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Brookside,Feedr,Feedr,OneFam,One_and_Half_Fin,Above_Average,1950,1997,Gable,CompShg,MetalSd,MetalSd,None,0,Good,CBlock,Typical,No,Rec,6,Unf,0,200,988,GasA,Excellent,Y,SBrkr,1030,582,1612,0,0,1,1,3,1,7,Typ,0,Detchd,Unf,1,363,Typical,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,3,2010,WD ,Normal,128500,-93.625737,42.033642
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,50,6000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Brookside,Norm,Norm,OneFam,One_and_Half_Fin,Good,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,BrkTil,Good,No,BLQ,2,LwQ,12,144,608,GasA,Typical,Y,SBrkr,608,524,1132,1,0,1,0,2,1,5,Typ,0,Detchd,Unf,1,240,Typical,Paved,0,0,128,0,0,0,No_Pool,Minimum_Privacy,None,0,4,2010,WD ,Abnorml,134000,-93.624566,42.033563
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,50,6000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Brookside,Norm,Norm,OneFam,One_and_Half_Fin,Good,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,CBlock,Typical,No,Rec,6,Unf,0,480,780,GasA,Typical,Y,SBrkr,780,636,1416,0,0,1,1,3,1,6,Typ,0,Detchd,Unf,1,312,Typical,Partial_Pavement,221,0,48,0,0,0,No_Pool,No_Fence,None,0,3,2010,WD ,Normal,139900,-93.622448,42.033631
Two_Story_1945_and_Older,Residential_Medium_Density,60,12900,Pave,Gravel,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,Two_Story,Very_Good,1912,2009,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Good,PConc,Typical,No,Unf,7,Unf,0,780,780,GasA,Excellent,Y,SBrkr,780,780,1560,0,0,1,1,3,1,7,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Dirt_Gravel,344,0,0,0,168,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,159900,-93.621835,42.028875
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,15263,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Clear_Creek,Feedr,Norm,OneFam,One_Story,Average,1959,1959,Gable,CompShg,HdBoard,HdBoard,BrkFace,90,Typical,CBlock,Typical,No,Rec,6,Unf,0,656,1422,GasA,Good,Y,SBrkr,1675,0,1675,0,0,2,0,3,1,8,Typ,2,Attchd,Unf,1,365,Typical,Paved,0,132,0,0,0,0,No_Pool,No_Fence,None,0,5,2010,WD ,Normal,173000,-93.655538,42.032432
Duplex_All_Styles_and_Ages,Residential_Low_Density,72,10778,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,One_Story,Average,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0,Typical,CBlock,Typical,No,Unf,7,Unf,0,1768,1768,GasA,Typical,N,SBrkr,1768,0,1768,0,0,2,0,4,2,8,Typ,0,No_Garage,No_Garage,0,0,No_Garage,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2010,WD ,Normal,136500,-93.671076,42.033387
